Entity,Code,Year,Cantril ladder score,"GDP per capita, PPP (constant 2017 international $)"
Afghanistan,AFG,2020,2.5229,1970.5602
Albania,ALB,2020,5.1174,13191.952
Algeria,DZA,2020,4.8871,10735.383
Argentina,ARG,2020,5.9293,19690.662
Armenia,ARM,2020,5.2826,12619.893
Australia,AUS,2020,7.1835,48678.684
Austria,AUT,2020,7.2678,51857.69
Azerbaijan,AZE,2020,5.1708,13726.77
Bahrain,BHR,2020,6.6469,41480.58
Bangladesh,BGD,2020,5.0246,4871.4463
Belarus,BLR,2020,5.5335,19186.775
Belgium,BEL,2020,6.834,48769.727
Benin,BEN,2020,5.0452,3323.1445
Bolivia,BOL,2020,5.7159,7845.171
Bosnia and Herzegovina,BIH,2020,5.8131,14509.266
Botswana,BWA,2020,3.4665,14654.651
Brazil,BRA,2020,6.3301,14063.982
Bulgaria,BGR,2020,5.2655,22379.094
Burkina Faso,BFA,2020,4.8338,2155.7693
Burundi,BDI,2020,3.7753,731.06323
Cambodia,KHM,2020,4.8304,4191.5664
Cameroon,CMR,2020,5.1418,3666.4106
Canada,CAN,2020,7.1033,46064.254
Chad,TCD,2020,4.3554,1519.0367
Chile,CHL,2020,6.1719,23324.525
China,CHN,2020,5.3391,16315.815
Colombia,COL,2020,6.0124,13448.933
Comoros,COM,2020,4.2886,2989.1704
Congo,COG,2020,5.3417,3433.959
Costa Rica,CRI,2020,7.0694,19903.14
Cote d'Ivoire,CIV,2020,5.306,5181.311
Croatia,HRV,2020,5.8817,27076.979
Cyprus,CYP,2020,6.2235,38816.094
Czechia,CZE,2020,6.9647,38511.27
Denmark,DNK,2020,7.6195,55819.91
Dominican Republic,DOM,2020,5.5451,17003.014
Ecuador,ECU,2020,5.764,10329.199
Egypt,EGY,2020,4.2827,11951.447
El Salvador,SLV,2020,6.0605,7982.626
Estonia,EST,2020,6.1888,35257.16
Eswatini,SWZ,2020,4.3081,8404.728
Ethiopia,ETH,2020,4.2747,2296.8274
Finland,FIN,2020,7.8421,47154.426
France,FRA,2020,6.6899,42320.523
Gabon,GAB,2020,4.8518,14320.845
Gambia,GMB,2020,5.051,2156.7546
Georgia,GEO,2020,4.8914,13966.326
Germany,DEU,2020,7.1545,51423.234
Ghana,GHA,2020,5.0884,5445.7256
Greece,GRC,2020,5.7226,27072.62
Guatemala,GTM,2020,6.4345,8393.284
Guinea,GIN,2020,4.9843,2670.8232
