Entity,GDP per capita (USD),Life satisfaction
Afghanistan,1970.5602,2.5229
Albania,13191.952,5.1174
Algeria,10735.383,4.8871
Argentina,19690.662,5.9293
Armenia,12619.893,5.2826
Australia,48678.684,7.1835
Austria,51857.69,7.2678
Azerbaijan,13726.77,5.1708
Bahrain,41480.58,6.6469
Bangladesh,4871.4463,5.0246
Belarus,19186.775,5.5335
Belgium,48769.727,6.834
Benin,3323.1445,5.0452
Bolivia,7845.171,5.7159
Bosnia and Herzegovina,14509.266,5.8131
Botswana,14654.651,3.4665
Brazil,14063.982,6.3301
Bulgaria,22379.094,5.2655
Burkina Faso,2155.7693,4.8338
Burundi,731.06323,3.7753
Cambodia,4191.5664,4.8304
Cameroon,3666.4106,5.1418
Canada,46064.254,7.1033
Chad,1519.0367,4.3554
Chile,23324.525,6.1719
China,16315.815,5.3391
Colombia,13448.933,6.0124
Comoros,2989.1704,4.2886
Congo,3433.959,5.3417
Costa Rica,19903.14,7.0694
Cote d'Ivoire,5181.311,5.306
Croatia,27076.979,5.8817
Cyprus,38816.094,6.2235
Czechia,38511.27,6.9647
Denmark,55819.91,7.6195
Dominican Republic,17003.014,5.5451
Ecuador,10329.199,5.764
Egypt,11951.447,4.2827
El Salvador,7982.626,6.0605
Estonia,35257.16,6.1888
Eswatini,8404.728,4.3081
Ethiopia,2296.8274,4.2747
Finland,47154.426,7.8421
France,42320.523,6.6899
Gabon,14320.845,4.8518
Gambia,2156.7546,5.051
Georgia,13966.326,4.8914
Germany,51423.234,7.1545
Ghana,5445.7256,5.0884
Greece,27072.62,5.7226
Guatemala,8393.284,6.4345
Guinea,2670.8232,4.9843
